time,x,y,row,col,coverage,collision_count,v,w
0.13,-1.336,-1.349,0,0,0.009,1,0.465,0.448
0.26,-1.307,-1.348,0,0,0.009,1,0.405,0.802
0.38,-1.279,-1.346,0,0,0.009,1,0.405,0.800
0.51,-1.251,-1.345,0,0,0.009,1,0.405,0.800
0.64,-1.223,-1.344,0,0,0.009,1,0.405,0.800
0.77,-1.194,-1.342,0,0,0.009,1,0.405,0.800
0.90,-1.166,-1.341,0,0,0.009,1,0.405,0.800
1.02,-1.138,-1.340,0,0,0.009,1,0.405,0.800
1.15,-1.110,-1.338,0,0,0.009,1,0.405,0.800
1.28,-1.082,-1.337,0,0,0.009,1,0.405,0.800
1.41,-1.054,-1.336,0,0,0.009,1,0.405,0.800
1.54,-1.026,-1.334,0,0,0.009,1,0.405,0.800
1.66,-0.998,-1.333,0,0,0.009,1,0.405,0.800
1.79,-0.969,-1.332,0,0,0.009,1,0.405,0.800
1.92,-0.941,-1.330,0,0,0.009,1,0.405,0.800
2.05,-0.913,-1.329,0,0,0.009,1,0.405,0.800
2.18,-0.885,-1.328,0,1,0.019,1,0.405,0.800
2.30,-0.857,-1.326,0,1,0.019,1,0.405,0.800
2.43,-0.829,-1.325,0,1,0.019,1,0.405,0.800
2.56,-0.801,-1.324,0,1,0.019,1,0.405,0.800
2.69,-0.773,-1.322,0,1,0.019,1,0.405,0.800
2.82,-0.744,-1.321,0,1,0.019,1,0.405,0.800
2.94,-0.716,-1.319,0,1,0.019,1,0.405,0.800
3.07,-0.688,-1.318,0,1,0.019,1,0.405,0.800
3.20,-0.660,-1.317,0,2,0.028,1,0.405,0.800
3.33,-0.632,-1.315,0,2,0.028,1,0.405,0.800
3.46,-0.604,-1.314,0,2,0.028,1,0.405,0.800
3.58,-0.576,-1.312,0,2,0.028,1,0.405,0.800
3.71,-0.547,-1.311,0,2,0.028,1,0.405,0.800
3.84,-0.519,-1.310,0,2,0.028,1,0.405,0.800
3.97,-0.491,-1.308,0,2,0.028,1,0.405,0.800
4.10,-0.463,-1.307,0,2,0.028,1,0.405,0.800
