time,x,y,row,col,coverage,collision_count,v,w
0.13,-1.344,-1.350,0,0,0.009,1,0.116,0.128
0.26,-1.330,-1.349,0,0,0.009,1,0.131,0.256
0.38,-1.314,-1.347,0,0,0.009,1,0.202,0.384
0.51,-1.292,-1.345,0,0,0.009,1,0.195,0.512
0.64,-1.271,-1.342,0,0,0.009,1,0.178,0.576
0.77,-1.250,-1.339,0,0,0.009,1,0.203,0.482
0.90,-1.227,-1.334,0,0,0.009,1,0.188,0.539
1.02,-1.205,-1.329,0,0,0.009,1,0.162,0.636
1.15,-1.188,-1.323,0,0,0.009,1,0.127,0.764
1.28,-1.176,-1.317,0,0,0.009,1,0.079,0.871
1.41,-1.172,-1.312,0,0,0.009,1,0.035,0.924
1.54,-1.172,-1.308,0,0,0.009,1,0.018,0.912
1.66,-1.173,-1.304,0,0,0.009,1,0.015,0.885
1.79,-1.174,-1.301,0,0,0.009,1,0.015,0.955
1.92,-1.174,-1.297,0,0,0.009,1,0.018,0.827
2.05,-1.174,-1.295,0,0,0.009,1,0.020,0.699
2.18,-1.173,-1.293,0,0,0.009,1,0.013,0.699
2.30,-1.172,-1.291,0,0,0.009,1,0.012,0.812
2.43,-1.171,-1.290,0,0,0.009,1,0.011,0.920
2.56,-1.171,-1.288,0,0,0.009,1,0.012,0.792
2.69,-1.170,-1.284,0,0,0.009,1,0.085,0.664
2.82,-1.167,-1.269,0,0,0.009,1,0.187,0.536
2.94,-1.163,-1.245,0,0,0.009,1,0.223,0.408
3.07,-1.159,-1.218,0,0,0.009,1,0.257,0.280
3.20,-1.156,-1.190,0,0,0.009,1,0.292,0.152
3.33,-1.152,-1.162,0,0,0.009,1,0.309,0.088
3.46,-1.148,-1.134,0,0,0.009,1,0.274,0.216
3.58,-1.144,-1.106,1,0,0.019,1,0.240,0.344
3.71,-1.141,-1.080,1,0,0.019,1,0.216,0.433
3.84,-1.139,-1.055,1,0,0.019,1,0.214,0.442
3.97,-1.137,-1.032,1,0,0.019,1,0.210,0.456
4.10,-1.135,-1.011,1,0,0.019,1,0.208,0.464
4.22,-1.133,-0.990,1,0,0.019,1,0.203,0.482
4.35,-1.132,-0.970,1,0,0.019,1,0.200,0.495
4.48,-1.130,-0.951,1,0,0.019,1,0.195,0.510
4.61,-1.129,-0.932,1,0,0.019,1,0.188,0.539
4.74,-1.128,-0.914,1,0,0.019,1,0.190,0.530
4.86,-1.126,-0.896,2,0,0.028,1,0.184,0.554
4.99,-1.125,-0.879,2,0,0.028,1,0.178,0.574
5.12,-1.124,-0.863,2,1,0.037,1,0.179,0.573
5.25,-1.123,-0.846,2,1,0.037,1,0.168,0.613
5.38,-1.122,-0.832,2,1,0.037,1,0.152,0.672
5.50,-1.121,-0.820,2,1,0.037,1,0.141,0.712
5.63,-1.120,-0.810,2,1,0.037,1,0.137,0.727
5.76,-1.120,-0.800,2,1,0.037,1,0.133,0.742
5.89,-1.119,-0.790,2,1,0.037,1,0.157,0.652
6.02,-1.118,-0.774,2,1,0.037,1,0.192,0.524
6.14,-1.116,-0.753,2,1,0.037,1,0.226,0.396
6.27,-1.114,-0.726,2,1,0.037,1,0.260,0.268
6.40,-1.112,-0.698,2,1,0.037,1,0.234,0.140
6.53,-1.110,-0.670,3,1,0.046,1,0.220,0.012
6.66,-1.109,-0.647,3,1,0.046,1,0.143,-0.116
6.78,-1.107,-0.632,3,1,0.046,1,0.105,-0.244
6.91,-1.106,-0.623,3,1,0.046,1,0.063,-0.370
7.04,-1.105,-0.617,3,1,0.046,1,0.058,-0.449
7.17,-1.103,-0.614,3,1,0.046,1,0.046,-0.423
7.30,-1.102,-0.610,3,1,0.046,1,0.049,-0.355
7.42,-1.101,-0.606,3,1,0.046,1,0.053,-0.320
7.55,-1.099,-0.603,3,1,0.046,1,0.028,-0.305
7.68,-1.098,-0.600,3,1,0.046,1,0.028,-0.301
7.81,-1.097,-0.598,3,1,0.046,1,0.039,-0.302
7.94,-1.096,-0.596,3,1,0.046,1,0.030,-0.305
8.06,-1.094,-0.594,3,1,0.046,1,0.020,-0.313
8.19,-1.093,-0.592,3,1,0.046,1,0.026,-0.321
8.32,-1.092,-0.591,3,1,0.046,1,0.019,-0.331
8.45,-1.090,-0.590,3,1,0.046,1,0.018,-0.368
8.58,-1.089,-0.590,3,1,0.046,1,0.017,-0.378
8.70,-1.088,-0.589,3,1,0.046,1,0.020,-0.468
8.83,-1.086,-0.589,3,1,0.046,1,0.013,-0.556
8.96,-1.085,-0.589,3,1,0.046,1,0.013,-0.684
9.09,-1.083,-0.589,3,1,0.046,1,0.012,-0.812
9.22,-1.081,-0.589,3,1,0.046,1,0.017,-0.875
9.34,-1.078,-0.590,3,1,0.046,1,0.023,-0.920
9.47,-1.074,-0.591,3,1,0.046,1,0.033,-0.839
9.60,-1.070,-0.588,3,1,0.046,1,0.059,-0.711
9.73,-1.063,-0.583,3,1,0.046,1,0.109,-0.583
9.86,-1.051,-0.574,3,1,0.046,1,0.133,-0.455
9.98,-1.035,-0.563,3,1,0.046,1,0.181,-0.327
